,Date,User,Type,Bank,Branch,Account,Amount,Category
41,2024-08-20,Varunspatil,Debit,SBI,Belgaum,3688,4231.65,TV Recharge
42,2024-12-20,Varunspatil,Debit,SBI,Belgaum,3688,372.7,Cylinder Booking
43,2025-01-28,Varunspatil,Debit,SBI,Belgaum,3688,3169.77,TV Recharge
44,2024-09-06,Varunspatil,Credit,SBI,Belgaum,3688,1289.66,Other
45,2024-07-30,Varunspatil,Debit,SBI,Belgaum,3688,4607.49,ATM Withdrawal
46,2024-04-12,Varunspatil,Credit,SBI,Belgaum,3688,1142.75,Freelance
47,2024-04-14,Varunspatil,Credit,SBI,Belgaum,3688,1147.2,Rent DVG
48,2024-08-23,Varunspatil,Debit,SBI,Belgaum,3688,2462.04,ATM Withdrawal
49,2024-05-05,Varunspatil,Credit,SBI,Belgaum,3688,3511.04,Freelance
50,2024-10-03,Varunspatil,Credit,SBI,Belgaum,3688,3099.43,Rent DVG
51,2024-08-28,Varunspatil,Credit,SBI,Belgaum,3688,4748.95,Rent DVG
52,2024-03-28,Varunspatil,Debit,SBI,Belgaum,3688,4455.41,Repair
53,2024-08-13,Varunspatil,Debit,SBI,Belgaum,3688,4612.12,Repair
54,2024-10-13,Varunspatil,Credit,SBI,Belgaum,3688,1809.8,Salary
55,2024-10-01,Varunspatil,Credit,SBI,Belgaum,3688,3413.21,Rent BLG
56,2024-03-31,Varunspatil,Credit,SBI,Belgaum,3688,2111.6,Pension
57,2024-09-04,Varunspatil,Debit,SBI,Belgaum,3688,2212.54,Food
58,2024-12-20,Varunspatil,Credit,SBI,Belgaum,3688,1451.27,Rent DVG
59,2024-06-04,Varunspatil,Credit,SBI,Belgaum,3688,2592.83,Freelance
60,2025-01-15,Varunspatil,Debit,SBI,Belgaum,3688,3143.82,TV Recharge
61,2024-04-29,Varunspatil,Credit,SBI,Belgaum,3688,3231.37,Rent BLG
62,2024-05-30,Varunspatil,Credit,SBI,Belgaum,3688,733.63,Rent BLG
63,2025-01-18,Varunspatil,Debit,SBI,Belgaum,3688,833.05,Food
64,2024-04-06,Varunspatil,Debit,SBI,Belgaum,3688,2718.53,Cylinder Booking
65,2024-06-07,Varunspatil,Credit,SBI,Belgaum,3688,4785.15,Rent BLG
66,2024-11-24,Varunspatil,Credit,SBI,Belgaum,3688,4759.98,Salary
67,2024-04-18,Varunspatil,Credit,SBI,Belgaum,3688,4257.32,Pension
68,2024-11-02,Varunspatil,Credit,SBI,Belgaum,3688,1737.7,Freelance
69,2024-12-03,Varunspatil,Credit,SBI,Belgaum,3688,2080.28,Investment
70,2024-06-02,Varunspatil,Credit,SBI,Belgaum,3688,2161.95,Investment
71,2024-05-27,Varunspatil,Debit,SBI,Belgaum,3688,4536.49,Cylinder Booking
72,2025-02-03,Varunspatil,Debit,SBI,Belgaum,3688,3319.88,Repair
73,2024-10-01,Varunspatil,Debit,SBI,Belgaum,3688,3258.58,Food
74,2024-08-20,Varunspatil,Debit,SBI,Belgaum,3688,509.98,Clothes
75,2024-08-30,Varunspatil,Credit,SBI,Belgaum,3688,4331.96,Investment
76,2024-06-12,Varunspatil,Debit,SBI,Belgaum,3688,564.09,Cylinder Booking
77,2024-08-04,Varunspatil,Credit,SBI,Belgaum,3688,4775.26,Freelance
78,2024-11-22,Varunspatil,Credit,SBI,Belgaum,3688,2886.73,Investment
79,2024-10-17,Varunspatil,Credit,SBI,Belgaum,3688,2871.5,Other
80,2024-05-11,Varunspatil,Debit,SBI,Belgaum,3688,4237.0,TV Recharge
81,2024-07-07,Varunspatil,Credit,SBI,Belgaum,3688,4887.49,Other
82,2025-02-14,Varunspatil,Debit,SBI,Belgaum,3688,2589.71,Groceries
83,2024-05-23,Varunspatil,Credit,SBI,Belgaum,3688,3661.79,Other
84,2024-08-25,Varunspatil,Debit,SBI,Belgaum,3688,184.22,Groceries
85,2024-12-06,Varunspatil,Credit,SBI,Belgaum,3688,1968.79,Investment
86,2024-08-24,Varunspatil,Debit,SBI,Belgaum,3688,1420.68,LIC
87,2024-06-27,Varunspatil,Debit,SBI,Belgaum,3688,4106.32,Cylinder Booking
88,2024-03-19,Varunspatil,Credit,SBI,Belgaum,3688,753.24,Rent DVG
89,2024-11-22,Varunspatil,Credit,SBI,Belgaum,3688,1608.29,Investment
90,2024-05-25,Varunspatil,Credit,SBI,Belgaum,3688,1214.58,Investment
91,2024-12-06,Varunspatil,Credit,SBI,Belgaum,3688,876.17,Rent BLG
92,2024-05-12,Varunspatil,Credit,SBI,Belgaum,3688,833.81,Rent DVG
93,2025-02-15,Varunspatil,Debit,SBI,Belgaum,3688,2746.88,Groceries
94,2024-07-29,Varunspatil,Credit,SBI,Belgaum,3688,2500.04,Other
95,2025-02-24,Varunspatil,Credit,SBI,Belgaum,3688,3617.32,Rent BLG
96,2024-12-29,Varunspatil,Debit,SBI,Belgaum,3688,3273.79,Cylinder Booking
97,2025-03-16,Varunspatil,Credit,SBI,Belgaum,3688,1329.96,Freelance
98,2024-12-31,Varunspatil,Credit,SBI,Belgaum,3688,2320.61,Rent BLG
99,2025-01-05,Varunspatil,Credit,SBI,Belgaum,3688,405.23,Rent BLG
100,2024-03-21,Varunspatil,Credit,SBI,Belgaum,3688,677.05,Pension
101,2024-03-21,Varunspatil,Debit,SBI,Belgaum,3688,2510.23,LIC
102,2024-07-02,Varunspatil,Debit,SBI,Belgaum,3688,359.34,Other
103,2024-08-03,Varunspatil,Debit,SBI,Belgaum,3688,211.64,Cylinder Booking
104,2024-06-13,Varunspatil,Credit,SBI,Belgaum,3688,2172.25,Investment
105,2024-05-02,Varunspatil,Credit,SBI,Belgaum,3688,3704.02,Investment
106,2024-05-03,Varunspatil,Credit,SBI,Belgaum,3688,4492.37,Investment
107,2025-03-14,Varunspatil,Credit,SBI,Belgaum,3688,2397.06,Freelance
108,2024-08-06,Varunspatil,Credit,SBI,Belgaum,3688,1153.16,Other
109,2024-05-22,Varunspatil,Credit,SBI,Belgaum,3688,1619.5,Other
110,2024-12-18,Varunspatil,Debit,SBI,Belgaum,3688,3600.45,Other
111,2025-01-18,Varunspatil,Debit,SBI,Belgaum,3688,3229.7,Clothes
112,2024-09-28,Varunspatil,Credit,SBI,Belgaum,3688,872.2,Rent BLG
113,2024-08-23,Varunspatil,Credit,SBI,Belgaum,3688,362.87,Salary
114,2024-04-03,Varunspatil,Debit,SBI,Belgaum,3688,2661.2,Groceries
115,2024-07-07,Varunspatil,Debit,SBI,Belgaum,3688,3708.59,Other
116,2024-05-22,Varunspatil,Credit,SBI,Belgaum,3688,4283.4,Other
117,2024-09-20,Varunspatil,Credit,SBI,Belgaum,3688,187.22,Pension
118,2025-01-13,Varunspatil,Credit,SBI,Belgaum,3688,1086.55,Rent DVG
119,2024-03-26,Varunspatil,Credit,SBI,Belgaum,3688,4263.21,Other
120,2024-11-11,Varunspatil,Credit,SBI,Belgaum,3688,1824.7,Pension
121,2024-09-14,Varunspatil,Credit,SBI,Belgaum,3688,448.82,Rent BLG
122,2024-11-20,Varunspatil,Credit,SBI,Belgaum,3688,1866.36,Salary
123,2024-08-08,Varunspatil,Credit,SBI,Belgaum,3688,2831.77,Rent BLG
124,2024-05-06,Varunspatil,Debit,SBI,Belgaum,3688,3662.28,ATM Withdrawal
125,2024-05-05,Varunspatil,Debit,SBI,Belgaum,3688,3122.08,Food
126,2024-11-17,Varunspatil,Credit,SBI,Belgaum,3688,2145.44,Freelance
127,2024-09-28,Varunspatil,Debit,SBI,Belgaum,3688,3241.32,ATM Withdrawal
128,2024-10-25,Varunspatil,Debit,SBI,Belgaum,3688,887.78,Groceries
129,2024-08-18,Varunspatil,Credit,SBI,Belgaum,3688,3329.1,Rent BLG
130,2025-01-20,Varunspatil,Credit,SBI,Belgaum,3688,262.55,Other
131,2024-04-12,Varunspatil,Credit,SBI,Belgaum,3688,653.29,Investment
132,2024-12-07,Varunspatil,Credit,SBI,Belgaum,3688,3502.78,Rent DVG
133,2024-04-25,Varunspatil,Debit,SBI,Belgaum,3688,4477.12,Repair
134,2024-07-31,Varunspatil,Credit,SBI,Belgaum,3688,536.95,Rent DVG
135,2024-05-26,Varunspatil,Credit,SBI,Belgaum,3688,1133.67,Rent BLG
136,2024-09-10,Varunspatil,Debit,SBI,Belgaum,3688,3262.27,TV Recharge
137,2024-07-01,Varunspatil,Credit,SBI,Belgaum,3688,254.39,Investment
138,2025-02-28,Varunspatil,Credit,SBI,Belgaum,3688,4647.92,Salary
139,2024-08-10,Varunspatil,Credit,SBI,Belgaum,3688,991.12,Investment
140,2025-01-22,Varunspatil,Credit,SBI,Belgaum,3688,3271.53,Pension
141,2024-12-28,Varunspatil,Credit,SBI,Belgaum,3688,3147.74,Investment
142,2025-02-10,Varunspatil,Debit,SBI,Belgaum,3688,4802.46,ATM Withdrawal
143,2025-01-13,Varunspatil,Credit,SBI,Belgaum,3688,2530.38,Freelance
144,2024-10-09,Varunspatil,Credit,SBI,Belgaum,3688,3008.56,Pension
145,2024-05-14,Varunspatil,Debit,SBI,Belgaum,3688,4759.65,TV Recharge
146,2024-12-13,Varunspatil,Debit,SBI,Belgaum,3688,2406.24,Travel
147,2024-08-28,Varunspatil,Debit,SBI,Belgaum,3688,3182.84,Repair
148,2024-12-15,Varunspatil,Credit,SBI,Belgaum,3688,3729.27,Freelance
149,2024-03-21,Varunspatil,Debit,SBI,Belgaum,3688,4417.21,Food
150,2024-09-05,Varunspatil,Credit,SBI,Belgaum,3688,2704.51,Freelance
151,2024-11-27,Varunspatil,Credit,SBI,Belgaum,3688,1847.03,Rent DVG
152,2024-08-29,Varunspatil,Debit,SBI,Belgaum,3688,332.6,Repair
153,2024-12-07,Varunspatil,Debit,SBI,Belgaum,3688,218.74,Groceries
154,2024-04-27,Varunspatil,Credit,SBI,Belgaum,3688,1074.44,Salary
155,2024-10-01,Varunspatil,Credit,SBI,Belgaum,3688,1142.0,Investment
156,2024-09-19,Varunspatil,Debit,SBI,Belgaum,3688,3983.67,Clothes
157,2024-08-11,Varunspatil,Credit,SBI,Belgaum,3688,2736.38,Freelance
158,2024-07-11,Varunspatil,Debit,SBI,Belgaum,3688,3029.46,LIC
159,2024-10-17,Varunspatil,Debit,SBI,Belgaum,3688,1158.99,Groceries
160,2024-06-21,Varunspatil,Credit,SBI,Belgaum,3688,1536.42,Other
161,2025-01-30,Varunspatil,Debit,SBI,Belgaum,3688,4974.41,Repair
162,2025-03-10,Varunspatil,Debit,SBI,Belgaum,3688,2528.54,Repair
163,2024-12-08,Varunspatil,Credit,SBI,Belgaum,3688,2996.05,Salary
164,2024-10-22,Varunspatil,Credit,SBI,Belgaum,3688,2034.01,Pension
165,2024-05-01,Varunspatil,Debit,SBI,Belgaum,3688,2694.63,TV Recharge
166,2025-02-09,Varunspatil,Credit,SBI,Belgaum,3688,391.63,Other
167,2024-06-20,Varunspatil,Credit,SBI,Belgaum,3688,2682.41,Rent BLG
168,2024-04-23,Varunspatil,Debit,SBI,Belgaum,3688,4121.46,Cylinder Booking
169,2024-07-08,Varunspatil,Credit,SBI,Belgaum,3688,150.55,Rent DVG
170,2024-12-04,Varunspatil,Debit,SBI,Belgaum,3688,4020.89,Travel
171,2024-12-19,Varunspatil,Credit,SBI,Belgaum,3688,635.08,Pension
172,2024-05-03,Varunspatil,Debit,SBI,Belgaum,3688,4864.93,Food
173,2024-09-02,Varunspatil,Debit,SBI,Belgaum,3688,4147.74,Food
174,2024-06-27,Varunspatil,Credit,SBI,Belgaum,3688,840.64,Investment
175,2024-08-16,Varunspatil,Credit,SBI,Belgaum,3688,3602.37,Investment
176,2025-03-09,Varunspatil,Credit,SBI,Belgaum,3688,4653.42,Investment
177,2024-10-19,Varunspatil,Debit,SBI,Belgaum,3688,4340.48,Food
178,2024-10-20,Varunspatil,Credit,SBI,Belgaum,3688,1560.48,Salary
179,2024-05-12,Varunspatil,Credit,SBI,Belgaum,3688,2164.15,Rent BLG
180,2024-10-13,Varunspatil,Debit,SBI,Belgaum,3688,4662.55,Food
181,2025-01-25,Varunspatil,Debit,SBI,Belgaum,3688,2415.07,TV Recharge
182,2024-05-31,Varunspatil,Debit,SBI,Belgaum,3688,1066.41,LIC
183,2025-02-19,Varunspatil,Debit,SBI,Belgaum,3688,1446.15,Travel
184,2024-12-08,Varunspatil,Credit,SBI,Belgaum,3688,4441.46,Freelance
185,2024-05-10,Varunspatil,Credit,SBI,Belgaum,3688,2441.41,Investment
186,2025-02-03,Varunspatil,Credit,SBI,Belgaum,3688,529.98,Freelance
187,2024-05-16,Varunspatil,Debit,SBI,Belgaum,3688,503.91,LIC
188,2024-05-20,Varunspatil,Debit,SBI,Belgaum,3688,3785.57,Clothes
189,2024-04-13,Varunspatil,Debit,SBI,Belgaum,3688,3053.41,Other
190,2025-01-04,Varunspatil,Debit,SBI,Belgaum,3688,608.63,Travel
191,2025-02-11,Varunspatil,Debit,SBI,Belgaum,3688,711.77,Repair
192,2024-11-30,Varunspatil,Debit,SBI,Belgaum,3688,2965.18,Food
193,2025-03-12,Varunspatil,Credit,SBI,Belgaum,3688,3291.68,Freelance
194,2024-05-04,Varunspatil,Credit,SBI,Belgaum,3688,4751.14,Rent BLG
195,2024-10-21,Varunspatil,Debit,SBI,Belgaum,3688,1530.77,Repair
196,2024-09-13,Varunspatil,Credit,SBI,Belgaum,3688,2610.53,Salary
197,2024-07-21,Varunspatil,Debit,SBI,Belgaum,3688,2185.21,Groceries
198,2024-05-16,Varunspatil,Credit,SBI,Belgaum,3688,4551.42,Pension
199,2025-02-10,Varunspatil,Debit,SBI,Belgaum,3688,1570.97,Food
200,2024-04-18,Varunspatil,Debit,SBI,Belgaum,3688,806.52,LIC
201,2024-11-14,Varunspatil,Debit,SBI,Belgaum,3688,4175.89,Repair
202,2025-03-05,Varunspatil,Credit,SBI,Belgaum,3688,3329.29,Investment
203,2024-08-17,Varunspatil,Credit,SBI,Belgaum,3688,791.69,Other
204,2024-10-12,Varunspatil,Debit,SBI,Belgaum,3688,4095.85,TV Recharge
205,2024-06-06,Varunspatil,Credit,SBI,Belgaum,3688,1614.24,Rent BLG
206,2024-12-29,Varunspatil,Debit,SBI,Belgaum,3688,3750.7,Food
207,2025-02-22,Varunspatil,Debit,SBI,Belgaum,3688,2103.1,Groceries
208,2024-11-20,Varunspatil,Debit,SBI,Belgaum,3688,478.05,Food
209,2024-10-31,Varunspatil,Debit,SBI,Belgaum,3688,3711.96,Food
210,2024-09-22,Varunspatil,Credit,SBI,Belgaum,3688,2113.88,Freelance
211,2025-03-14,Varunspatil,Credit,SBI,Belgaum,3688,4671.05,Pension
212,2024-05-29,Varunspatil,Debit,SBI,Belgaum,3688,1185.11,Other
213,2024-11-28,Varunspatil,Debit,SBI,Belgaum,3688,2858.35,TV Recharge
214,2024-09-12,Varunspatil,Credit,SBI,Belgaum,3688,3181.32,Investment
215,2024-04-17,Varunspatil,Debit,SBI,Belgaum,3688,4828.86,Other
216,2025-01-02,Varunspatil,Credit,SBI,Belgaum,3688,1865.33,Pension
217,2024-08-10,Varunspatil,Debit,SBI,Belgaum,3688,1174.82,Cylinder Booking
218,2024-05-29,Varunspatil,Credit,SBI,Belgaum,3688,2432.8,Investment
219,2025-02-12,Varunspatil,Debit,SBI,Belgaum,3688,2955.2,Other
220,2025-02-07,Varunspatil,Debit,SBI,Belgaum,3688,2714.31,Groceries
221,2024-03-25,Varunspatil,Credit,SBI,Belgaum,3688,2166.05,Freelance
222,2025-03-08,Varunspatil,Credit,SBI,Belgaum,3688,1609.23,Investment
223,2025-01-02,Varunspatil,Debit,SBI,Belgaum,3688,2187.15,LIC
224,2024-04-28,Varunspatil,Credit,SBI,Belgaum,3688,2499.48,Rent DVG
225,2024-08-25,Varunspatil,Credit,SBI,Belgaum,3688,459.72,Rent BLG
226,2025-02-08,Varunspatil,Debit,SBI,Belgaum,3688,2454.14,TV Recharge
227,2024-10-22,Varunspatil,Credit,SBI,Belgaum,3688,2105.25,Other
228,2024-04-14,Varunspatil,Credit,SBI,Belgaum,3688,1713.06,Salary
229,2024-12-08,Varunspatil,Credit,SBI,Belgaum,3688,3716.83,Investment
230,2025-01-03,Varunspatil,Credit,SBI,Belgaum,3688,1118.34,Rent BLG
231,2024-05-06,Varunspatil,Credit,SBI,Belgaum,3688,3205.84,Investment
232,2025-01-12,Varunspatil,Credit,SBI,Belgaum,3688,3318.51,Rent DVG
233,2024-10-30,Varunspatil,Debit,SBI,Belgaum,3688,279.96,Repair
234,2024-06-21,Varunspatil,Debit,SBI,Belgaum,3688,1794.49,Food
235,2025-02-28,Varunspatil,Credit,SBI,Belgaum,3688,242.0,Investment
236,2024-05-02,Varunspatil,Credit,SBI,Belgaum,3688,190.04,Salary
237,2025-03-09,Varunspatil,Debit,SBI,Belgaum,3688,4735.87,Other
238,2024-08-16,Varunspatil,Credit,SBI,Belgaum,3688,2134.67,Investment
239,2024-04-27,Varunspatil,Debit,SBI,Belgaum,3688,3303.38,Other
240,2024-03-22,Varunspatil,Debit,SBI,Belgaum,3688,405.47,Travel
241,2025-02-12,Varunspatil,Credit,SBI,Belgaum,3688,3682.27,Investment
242,2025-03-04,Varunspatil,Debit,SBI,Belgaum,3688,4534.12,Clothes
243,2024-11-06,Varunspatil,Credit,SBI,Belgaum,3688,473.1,Salary
244,2024-12-30,Varunspatil,Credit,SBI,Belgaum,3688,3733.72,Rent BLG
245,2024-12-18,Varunspatil,Debit,SBI,Belgaum,3688,897.21,TV Recharge
246,2024-11-04,Varunspatil,Credit,SBI,Belgaum,3688,4196.0,Salary
247,2024-05-10,Varunspatil,Debit,SBI,Belgaum,3688,2282.38,TV Recharge
248,2024-08-14,Varunspatil,Credit,SBI,Belgaum,3688,3520.48,Pension
249,2024-05-07,Varunspatil,Debit,SBI,Belgaum,3688,4387.02,Travel
250,2024-05-06,Varunspatil,Credit,SBI,Belgaum,3688,867.93,Other
251,2024-12-09,Varunspatil,Debit,SBI,Belgaum,3688,3661.7,LIC
252,2024-09-03,Varunspatil,Credit,SBI,Belgaum,3688,2697.35,Rent BLG
253,2025-02-07,Varunspatil,Debit,SBI,Belgaum,3688,2647.22,Repair
254,2024-04-16,Varunspatil,Credit,SBI,Belgaum,3688,4740.37,Rent BLG
255,2024-03-26,Varunspatil,Debit,SBI,Belgaum,3688,4284.07,Groceries
256,2024-07-09,Varunspatil,Credit,SBI,Belgaum,3688,840.7,Freelance
257,2024-03-26,Varunspatil,Credit,SBI,Belgaum,3688,3925.62,Rent BLG
258,2024-12-29,Varunspatil,Credit,SBI,Belgaum,3688,2021.08,Pension
259,2024-07-29,Varunspatil,Debit,SBI,Belgaum,3688,430.4,LIC
260,2024-07-05,Varunspatil,Credit,SBI,Belgaum,3688,2971.91,Salary
261,2024-06-26,Varunspatil,Credit,SBI,Belgaum,3688,3662.19,Freelance
262,2024-11-09,Varunspatil,Debit,SBI,Belgaum,3688,705.95,Other
263,2024-09-30,Varunspatil,Credit,SBI,Belgaum,3688,1119.36,Investment
264,2024-12-08,Varunspatil,Debit,SBI,Belgaum,3688,1039.76,Groceries
265,2025-01-13,Varunspatil,Debit,SBI,Belgaum,3688,4761.73,Repair
266,2024-11-04,Varunspatil,Credit,SBI,Belgaum,3688,4552.89,Investment
267,2024-09-23,Varunspatil,Debit,SBI,Belgaum,3688,3667.97,ATM Withdrawal
268,2024-11-01,Varunspatil,Debit,SBI,Belgaum,3688,4000.53,LIC
269,2025-02-05,Varunspatil,Credit,SBI,Belgaum,3688,569.42,Rent BLG
270,2024-08-30,Varunspatil,Debit,SBI,Belgaum,3688,3724.93,TV Recharge
271,2024-10-13,Varunspatil,Credit,SBI,Belgaum,3688,144.54,Pension
272,2024-09-14,Varunspatil,Credit,SBI,Belgaum,3688,1703.33,Investment
273,2024-06-22,Varunspatil,Debit,SBI,Belgaum,3688,3136.81,Clothes
274,2025-02-24,Varunspatil,Credit,SBI,Belgaum,3688,2953.79,Other
275,2024-03-22,Varunspatil,Credit,SBI,Belgaum,3688,4389.17,Rent BLG
276,2025-02-12,Varunspatil,Credit,SBI,Belgaum,3688,1081.42,Other
277,2025-02-14,Varunspatil,Debit,SBI,Belgaum,3688,2749.43,Other
278,2024-06-04,Varunspatil,Debit,SBI,Belgaum,3688,2069.67,Clothes
279,2024-11-03,Varunspatil,Debit,SBI,Belgaum,3688,2629.2,Other
280,2024-06-17,Varunspatil,Debit,SBI,Belgaum,3688,4608.71,Cylinder Booking
281,2024-11-25,Varunspatil,Debit,SBI,Belgaum,3688,1362.39,Cylinder Booking
282,2025-01-29,Varunspatil,Credit,SBI,Belgaum,3688,2305.6,Rent DVG
283,2024-06-20,Varunspatil,Credit,SBI,Belgaum,3688,4208.19,Pension
284,2024-12-11,Varunspatil,Debit,SBI,Belgaum,3688,1951.83,ATM Withdrawal
285,2025-02-04,Varunspatil,Debit,SBI,Belgaum,3688,1178.65,Food
286,2024-08-07,Varunspatil,Credit,SBI,Belgaum,3688,4066.14,Freelance
287,2024-09-16,Varunspatil,Debit,SBI,Belgaum,3688,499.16,TV Recharge
288,2024-12-11,Varunspatil,Credit,SBI,Belgaum,3688,4273.84,Freelance
289,2025-01-12,Varunspatil,Debit,SBI,Belgaum,3688,867.98,Repair
290,2024-08-01,Varunspatil,Credit,SBI,Belgaum,3688,1719.03,Pension
291,2025-03-03,Varunspatil,Debit,SBI,Belgaum,3688,199.5,Travel
292,2024-12-27,Varunspatil,Credit,SBI,Belgaum,3688,4078.94,Freelance
293,2024-04-30,Varunspatil,Credit,SBI,Belgaum,3688,4767.04,Freelance
294,2024-12-10,Varunspatil,Debit,SBI,Belgaum,3688,1548.89,Travel
295,2024-03-21,Varunspatil,Debit,SBI,Belgaum,3688,4379.92,Clothes
296,2024-10-27,Varunspatil,Credit,SBI,Belgaum,3688,4002.81,Freelance
297,2024-11-01,Varunspatil,Credit,SBI,Belgaum,3688,4346.32,Rent BLG
298,2024-05-19,Varunspatil,Debit,SBI,Belgaum,3688,4791.33,TV Recharge
299,2024-09-03,Varunspatil,Credit,SBI,Belgaum,3688,426.55,Investment
300,2024-12-21,Varunspatil,Credit,SBI,Belgaum,3688,2199.88,Rent DVG
301,2024-09-16,Varunspatil,Debit,SBI,Belgaum,3688,541.36,LIC
302,2024-04-08,Varunspatil,Debit,SBI,Belgaum,3688,3127.94,Travel
303,2025-02-01,Varunspatil,Debit,SBI,Belgaum,3688,4989.4,Clothes
304,2024-11-14,Varunspatil,Debit,SBI,Belgaum,3688,3276.96,Travel
305,2024-05-15,Varunspatil,Credit,SBI,Belgaum,3688,2563.42,Other
306,2024-10-10,Varunspatil,Debit,SBI,Belgaum,3688,4617.03,Cylinder Booking
307,2024-11-01,Varunspatil,Debit,SBI,Belgaum,3688,4233.12,Groceries
308,2024-04-26,Varunspatil,Credit,SBI,Belgaum,3688,2559.5,Freelance
309,2025-01-16,Varunspatil,Credit,SBI,Belgaum,3688,156.62,Rent DVG
310,2025-02-07,Varunspatil,Debit,SBI,Belgaum,3688,1294.91,Groceries
311,2025-01-10,Varunspatil,Credit,SBI,Belgaum,3688,2534.3,Rent DVG
312,2024-08-09,Varunspatil,Debit,SBI,Belgaum,3688,2097.6,Cylinder Booking
313,2025-01-09,Varunspatil,Debit,SBI,Belgaum,3688,3693.28,Repair
314,2024-07-16,Varunspatil,Debit,SBI,Belgaum,3688,4309.42,Travel
315,2024-10-18,Varunspatil,Debit,SBI,Belgaum,3688,1154.88,LIC
316,2024-11-29,Varunspatil,Credit,SBI,Belgaum,3688,599.22,Freelance
317,2024-12-06,Varunspatil,Debit,SBI,Belgaum,3688,3083.57,Clothes
318,2024-03-24,Varunspatil,Debit,SBI,Belgaum,3688,502.27,TV Recharge
319,2024-07-01,Varunspatil,Credit,SBI,Belgaum,3688,2674.4,Rent DVG
320,2024-10-27,Varunspatil,Credit,SBI,Belgaum,3688,610.28,Rent BLG
321,2024-09-22,Varunspatil,Credit,SBI,Belgaum,3688,2160.45,Rent BLG
322,2025-01-08,Varunspatil,Credit,SBI,Belgaum,3688,2698.74,Pension
323,2024-04-25,Varunspatil,Debit,SBI,Belgaum,3688,1903.92,Groceries
324,2024-11-28,Varunspatil,Credit,SBI,Belgaum,3688,4084.0,Investment
